,DATE,MEDIAN,AVG
0,1/31/1996,108831,115686
1,2/29/1996,108812,115701
2,3/31/1996,108372,115729
3,4/30/1996,108000,115804
4,5/31/1996,107799,115885
5,6/30/1996,107966,115993
6,7/31/1996,108061,116107
7,8/31/1996,107837,116281
8,9/30/1996,107697,116468
9,10/31/1996,106809,116687
10,11/30/1996,106918,116915
11,12/31/1996,107381,117164
12,1/31/1997,107777,117388
13,2/28/1997,108298,117641
14,3/31/1997,108894,117900
15,4/30/1997,109232,118194
16,5/31/1997,109438,118512
17,6/30/1997,109850,118818
18,7/31/1997,110393,119139
19,8/31/1997,110683,119392
20,9/30/1997,110883,119662
21,10/31/1997,111201,119924
22,11/30/1997,111715,120225
23,12/31/1997,112235,120565
24,1/31/1998,112961,120999
25,2/28/1998,113620,121405
26,3/31/1998,114205,121814
27,4/30/1998,114571,122149
28,5/31/1998,115047,122533
29,6/30/1998,115591,122937
30,7/31/1998,116176,123376
31,8/31/1998,116746,123885
32,9/30/1998,117291,124431
33,10/31/1998,117860,124993
34,11/30/1998,118458,125497
35,12/31/1998,119017,125949
36,1/31/1999,119467,126349
37,2/28/1999,119949,126851
38,3/31/1999,120529,127412
39,4/30/1999,121245,128057
40,5/31/1999,121929,128640
41,6/30/1999,122627,129261
42,7/31/1999,123350,129892
43,8/31/1999,124017,130485
44,9/30/1999,124698,131033
45,10/31/1999,125357,131593
46,11/30/1999,126035,132287
47,12/31/1999,126684,133020
48,1/31/2000,127306,133818
49,2/29/2000,128076,134578
50,3/31/2000,128942,135324
51,4/30/2000,129715,136032
52,5/31/2000,130547,136772
53,6/30/2000,131329,137507
54,7/31/2000,132107,138248
55,8/31/2000,132940,139014
56,9/30/2000,133613,139820
57,10/31/2000,134603,140621
58,11/30/2000,135498,141431
59,12/31/2000,136391,142281
60,1/31/2001,137136,143178
61,2/28/2001,137842,144033
62,3/31/2001,138221,144918
63,4/30/2001,138522,145806
64,5/31/2001,138859,146711
65,6/30/2001,139179,147572
66,7/31/2001,139448,148419
67,8/31/2001,139784,149287
68,9/30/2001,140104,150148
69,10/31/2001,140453,151035
70,11/30/2001,140679,151876
71,12/31/2001,140870,152722
72,1/31/2002,141030,153510
73,2/28/2002,141344,154341
74,3/31/2002,142359,155165
75,4/30/2002,143390,156038
76,5/31/2002,144467,156902
77,6/30/2002,145581,157816
78,7/31/2002,146791,158765
79,8/31/2002,148123,159737
80,9/30/2002,148992,160741
81,10/31/2002,150199,161775
82,11/30/2002,151427,162899
83,12/31/2002,152830,164038
84,1/31/2003,154291,165189
85,2/28/2003,155842,166313
86,3/31/2003,156937,167430
87,4/30/2003,158071,168520
88,5/31/2003,159448,169630
89,6/30/2003,160821,170724
90,7/31/2003,162343,171852
91,8/31/2003,163471,173058
92,9/30/2003,164392,174360
93,10/31/2003,165418,175720
94,11/30/2003,166443,177023
95,12/31/2003,167463,178317
96,1/31/2004,168686,179700
97,2/29/2004,169867,181194
98,3/31/2004,171236,182769
99,4/30/2004,172557,184341
100,5/31/2004,174172,186071
101,6/30/2004,175624,187960
102,7/31/2004,177542,189937
103,8/31/2004,179865,191781
104,9/30/2004,182168,193551
105,10/31/2004,184864,195359
106,11/30/2004,187789,197260
107,12/31/2004,190417,199225
108,1/31/2005,190680,201108
109,2/28/2005,191197,203065
110,3/31/2005,191829,204999
111,4/30/2005,192536,207118
112,5/31/2005,193234,209155
113,6/30/2005,193845,211209
114,7/31/2005,194475,213278
115,8/31/2005,195231,215446
116,9/30/2005,196252,217649
117,10/31/2005,197499,219698
118,11/30/2005,198981,221604
119,12/31/2005,200612,223335
120,1/31/2006,202182,224937
121,2/28/2006,203909,226354
122,3/31/2006,205820,227714
123,4/30/2006,208144,228964
124,5/31/2006,210606,230066
125,6/30/2006,213240,230954
126,7/31/2006,213412,231613
127,8/31/2006,213595,232120
128,9/30/2006,213793,232434
129,10/31/2006,214064,232574
130,11/30/2006,214155,232660
131,12/31/2006,214054,232725
132,1/31/2007,213814,232864
133,2/28/2007,213456,232980
134,3/31/2007,213040,233054
135,4/30/2007,212924,233026
136,5/31/2007,212874,232884
137,6/30/2007,212732,232591
138,7/31/2007,212079,232210
139,8/31/2007,212079,231835
140,9/30/2007,211987,231367
141,10/31/2007,212151,230839
142,11/30/2007,211588,230088
143,12/31/2007,211462,229222
144,1/31/2008,211316,228142
145,2/29/2008,211163,226828
146,3/31/2008,210787,225402
147,4/30/2008,209747,223814
148,5/31/2008,208754,222284
149,6/30/2008,207424,220675
150,7/31/2008,206667,219021
151,8/31/2008,205272,217195
152,9/30/2008,204177,215457
153,10/31/2008,202985,213802
154,11/30/2008,201310,212128
