,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,North Carolina,Nebraska,New Hampshire,New Jersey,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia
StateAbbrev,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
1/31/1996,128799,82282,68557,110353,164133,143302,157679,195151,132770,103902,103052,265063,80219,124061,139641,108831,76326,75536,83569,159323,154040,98046,88554,105109,82703,73163,110441,83344,110481,167436,162715,119646,92249,64192,131522,96738,128809,97030,84567,90477,98043,160686,122364,109627,142534,99186,60990
2/29/1996,129299,82384,68588,110668,163906,143773,157478,194150,132713,104008,103209,263967,80386,123872,139388,108812,76473,75692,83885,159323,154040,97699,88873,104934,82908,73162,110656,83667,110217,167117,162674,119373,92362,64289,132004,96676,128916,97138,84961,90655,98068,160818,122311,109607,142542,99329,60995
3/31/1996,129737,82466,68665,111028,163766,144161,157722,193289,132655,104130,103370,262994,80538,123797,139067,108372,76628,75821,84123,159448,154042,97486,89176,104859,83070,73237,110849,83883,110037,166885,162822,119211,92511,64443,132426,96615,128919,97176,84923,90872,98099,161092,122319,109517,142570,99435,60998
4/30/1996,130648,82582,68774,111685,163493,144946,157889,191849,132515,104360,103716,260961,80841,123613,138688,108000,76891,76115,84622,159665,154099,97000,89828,104782,83389,73329,111248,84348,109767,166449,162966,118966,92820,64700,133274,96516,128938,97377,84980,91294,98226,161570,122300,109372,142641,99740,61010
5/31/1996,131314,82646,68901,112300,163318,145634,158013,190734,132638,104581,104064,258626,81072,123484,138168,107799,77065,76373,84911,159902,154244,96639,90471,104858,83649,73478,111641,84678,109818,166110,163242,118867,93141,64967,134100,96423,128778,97527,84773,91737,98368,162209,122256,109188,142778,100100,61014
6/30/1996,131931,82747,69015,112856,163183,146317,158074,189923,132913,104823,104432,256010,81278,123321,137858,107966,77235,76635,85175,160149,154363,96272,91129,105088,83886,73610,112086,85061,110056,165805,163407,118801,93435,65167,134937,96382,128511,97780,84795,92191,98485,162720,122199,108912,143123,100604,61026
7/31/1996,132415,82888,69166,113368,163107,146978,158149,189218,133387,105055,104774,253442,81433,123174,137428,108061,77373,76896,85339,160519,154426,96011,91724,105339,84097,73793,112557,85446,110414,165590,163669,118722,93694,65369,135777,96351,128264,97930,84825,92661,98577,163206,122156,108611,143527,101107,61029
8/31/1996,132795,83096,69333,113838,163113,147662,158383,188579,133773,105262,105119,251713,81609,123141,137883,107837,77575,77169,85648,161019,154392,95833,92274,105724,84329,73933,113018,85848,110696,165530,164147,118645,93983,65539,136578,96395,128192,98119,84849,93115,98692,163594,122224,108387,144016,101592,61010
9/30/1996,133037,83221,69494,114287,163162,148318,158253,188193,134253,105408,105456,250385,81769,123147,138584,107697,77740,77436,85929,161498,154450,95762,92784,106063,84590,74057,113421,86208,110946,165570,164665,118602,94281,65696,137341,96427,128377,98209,84905,93508,98843,164021,122345,108311,144418,102005,60940
10/31/1996,133078,83344,69673,114739,163339,148942,158111,187643,134695,105562,105824,249101,82043,123218,140046,106809,77966,77671,86310,162078,154544,95815,93288,106482,84917,74335,113899,86603,111225,165672,165150,118608,94585,65840,138184,96513,128562,98418,84929,93865,99019,164433,122520,108451,144909,102422,60903
11/30/1996,133087,83437,69827,115160,163542,149551,157890,187436,135033,105733,106207,247592,82404,123302,141251,105964,78200,77976,86604,162634,154671,95854,93843,106918,85236,74669,114433,87069,111544,165749,165393,118644,94886,66026,139064,96615,128683,98646,85222,94237,99235,164952,122660,108645,145492,102863,60932
12/31/1996,133162,83616,70025,115553,163823,150156,157984,187167,135208,105943,106624,246352,82829,123483,142168,104819,78449,78298,86981,163232,154798,95886,94445,107381,85528,75006,115003,87442,111982,165853,165778,118724,95197,66264,139973,96750,128732,98937,85382,94623,99470,165467,122807,108912,146159,103305,61016
1/31/1997,133530,83713,70231,115896,163866,150751,157619,187124,135364,105977,106963,245565,83021,123820,142478,104294,78685,78611,87351,163350,154743,96274,95082,107777,85750,75131,115561,87786,112423,166110,166136,118678,95496,66456,140798,96851,128868,99228,85700,94950,99489,165893,122891,109183,146720,103718,61356
2/28/1997,133978,83827,70523,116272,163975,151246,157748,187548,135682,106070,107353,244908,83096,124319,142471,103704,78932,78842,87681,163579,154710,96857,95664,108298,85904,75221,116106,88033,113048,166493,166678,118892,95798,66664,141587,96957,128836,99552,85634,95323,99484,166225,123056,109255,147319,104082,61704
3/31/1997,134356,83939,70773,116570,164164,151783,157236,188263,136174,106172,107769,243844,83069,124755,142599,103625,79168,79076,87936,163742,154652,97459,96273,108894,86085,75334,116701,88480,113725,166969,166999,119123,96081,66805,142456,97119,128880,99942,85672,95705,99466,166414,123172,109310,147988,104513,62091
4/30/1997,134383,84273,71077,116898,164646,152416,157283,189075,136799,106495,108265,242567,83111,125134,142474,103241,79423,79290,88187,164285,154741,97793,96812,109551,86304,75535,117256,88959,114385,167365,167553,119423,96370,67023,143346,97337,128916,100249,85776,96157,99597,166717,123364,109232,148907,104868,62278
5/31/1997,134766,84695,71309,117240,165218,153146,157215,189362,137157,106794,108731,241614,83245,125567,142617,102815,79771,79568,88560,164910,154748,98066,97384,110049,86607,75758,117779,89516,114772,167808,167957,119522,96668,67220,144174,97608,129343,100608,86427,96549,99684,167061,123516,109438,149847,105249,62424
6/30/1997,134773,85113,71511,117580,165819,153823,157350,189508,137311,107064,109153,241217,83401,126174,142417,102564,80093,79856,88948,165611,154858,98427,97873,110447,86920,75930,118206,89930,114972,168327,168343,119650,97003,67511,144917,97858,129847,100918,86880,96890,99812,167600,123697,109850,150505,105454,62545
7/31/1997,134980,85440,71625,117913,166553,154403,157550,189835,137281,107323,109613,240896,83620,126809,142160,102567,80484,80179,89391,166242,155062,98752,98451,110868,87259,75994,118591,90291,115113,168847,168572,119900,97362,67795,145589,98134,130298,101375,87399,97217,99942,168131,123926,110393,151114,105687,62623
