State,Label,Current Population,latitude,longitude,PercentPopChg_96,Trend 1996,1996,PercentPopChg_97,Trend 1997,1997,PercentPopChg_98,Trend 1998,1998,PercentPopChg_99,Trend 1999,1999,PercentPopChg_2000,Trend 2000,2000,PercentPopChg_2001,Trend 2001,2001,PercentPopChg_2002,Trend 2002,2002,PercentPopChg_2003,Trend 2003,2003,PercentPopChg_2004,Trend 2004,2004,PercentPopChg_2005,Trend 2005,2005,PercentPopChg_2006,Trend 2006,2006,PercentPopChg_2007,Trend 2007,2007,PercentPopChg_2008,Trend 2008,2008,PercentPopChg_2009,Trend 2009,2009,PercentPopChg_2010,Trend 2010,2010,PercentPopChg_2011,Trend 2011,2011,PercentPopChg_2012,Trend 2012,2012,PercentPopChg_2013,Trend 2013,2013,PercentPopChg_2014,Trend 2014,2014,PercentPopChg_2015,Trend 2015,2015,PercentPopChg_2016,Trend 2016,2016,PercentPopChg_2017,Trend 2017,2017,PercentPopChg_2018,Trend 2018,2018,PercentPopChg_2019,2019,2020,Trend 2019
Alabama,AL,4903185,32.318231,-86.902298,0.65,Increasing,"$82,892 ",0.7,Increasing,"$85,324 ",0.71,Increasing,"$85,324 ",0.43,Increasing,"$93,470 ",1.88,Increasing,"$97,081 ",0.35,Increasing,"$100,996 ",0.28,Increasing,"$103,540 ",0.52,Increasing,"$106,602 ",0.6,Increasing,"$110,360 ",0.86,Increasing,"$115,751 ",1.29,Increasing,"$124,733 ",0.95,Increasing,"$130,142 ",0.97,Increasing,"$129,273 ",0.84,Increasing,"$124,172 ",0.11,Increasing,"$119,301 ",0.28,Increasing,"$113,749 ",0.34,Increasing,"$111,807 ",0.3,Increasing,"$113,116 ",0.24,Increasing,"$115,249 ",0.22,Increasing,"$117,740 ",0.23,Increasing,"$120,771 ",0.22,Increasing,"$124,773 ",0.27,Increasing,"$130,596 ",0.32,"$136,869 ","$142,463 ",Increasing
Alaska,AK,731545,63.588753,-154.493062,0.7,Increasing,"$131,609 ",0.72,Increasing,"$135,246 ",1.14,Increasing,"$139,556 ",0.7,Increasing,"$150,004 ",0.34,Increasing,"$153,940 ",0.16,Increasing,"$172,593 ",0.92,Increasing,"$185,692 ",1.36,Increasing,"$195,144 ",0.95,Increasing,"$210,628 ",1.68,Increasing,"$230,422 ",1.16,Increasing,"$250,122 ",1.25,Increasing,"$264,392 ",0.74,Increasing,"$269,795 ",1.66,Increasing,"$269,402 ",0.51,Increasing,"$269,651 ",1.14,Increasing,"$267,061 ",1.14,Increasing,"$271,250 ",0.9,Increasing,"$279,425 ",-0.11,Decreasing,"$287,964 ",0.16,Increasing,"$297,973 ",0.53,Increasing,"$303,608 ",-0.24,Decreasing,"$305,608 ",-0.62,Decreasing,"$308,013 ",-0.49,"$320,671 ","$314,518 ",Decreasing
Arizona,AZ,7278717,34.048928,-111.093731,3.5,Increasing,"$112,986 ",3.27,Increasing,"$117,795 ",3.09,Increasing,"$123,326 ",2.4,Increasing,"$130,299 ",2.13,Increasing,"$138,515 ",0.58,Increasing,"$146,297 ",2.19,Increasing,"$153,760 ",2.33,Increasing,"$162,720 ",2.11,Increasing,"$178,019 ",2.58,Increasing,"$231,804 ",3.3,Increasing,"$282,056 ",3.26,Increasing,"$269,046 ",2.3,Increasing,"$223,206 ",1,Increasing,"$178,751 ",0.23,Increasing,"$162,444 ",1.01,Increasing,"$144,354 ",1.26,Increasing,"$155,153 ",1.17,Increasing,"$182,693 ",1.45,Increasing,"$197,896 ",1.45,Increasing,"$207,647 ",1.6,Increasing,"$221,317 ",1.46,Increasing,"$236,278 ",1.59,Increasing,"$253,953 ",1.66,"$268,778 ","$283,974 ",Increasing
Arkansas,AR,3017804,35.20105,-91.831833,1.5,Increasing,"$69,168 ",1.13,Increasing,"$71,510 ",0.97,Increasing,"$74,341 ",0.5,Increasing,"$76,212 ",0.81,Increasing,"$78,733 ",0.19,Increasing,"$82,366 ",0.48,Increasing,"$84,778 ",0.53,Increasing,"$88,432 ",0.7,Increasing,"$93,347 ",0.91,Increasing,"$100,250 ",1.14,Increasing,"$106,928 ",1.46,Increasing,"$109,569 ",0.95,Increasing,"$109,209 ",0.78,Increasing,"$105,540 ",0.2,Increasing,"$104,020 ",0.64,Increasing,"$101,080 ",0.39,Increasing,"$102,012 ",0.24,Increasing,"$104,300 ",0.27,Increasing,"$105,842 ",0.36,Increasing,"$108,450 ",0.4,Increasing,"$112,182 ",0.38,Increasing,"$116,818 ",0.28,Increasing,"$122,234 ",0.27,"$127,269 ","$130,638 ",Increasing
California,CA,39512223,36.778261,-119.417932,1,Increasing,"$163,490 ",1.46,Increasing,"$166,636 ",1.54,Increasing,"$179,743 ",1.4,Increasing,"$195,800 ",1.11,Increasing,"$219,454 ",0.34,Increasing,"$249,941 ",1.45,Increasing,"$281,425 ",1.14,Increasing,"$328,439 ",1.09,Increasing,"$400,436 ",0.91,Increasing,"$487,438 ",0.71,Increasing,"$533,591 ",0.54,Increasing,"$510,307 ",0.64,Increasing,"$414,946 ",0.97,Increasing,"$337,802 ",0.17,Increasing,"$336,561 ",0.85,Increasing,"$318,120 ",0.82,Increasing,"$317,247 ",0.82,Increasing,"$378,017 ",0.87,Increasing,"$426,194 ",0.82,Increasing,"$451,014 ",0.64,Increasing,"$483,893 ",0.49,Increasing,"$517,941 ",0.26,Increasing,"$555,693 ",0.13,"$564,902 ","$586,271 ",Increasing
Colorado,CO,5758736,39.550051,-105.782067,2.4,Increasing,"$146,645 ",2.51,Increasing,"$154,120 ",2.45,Increasing,"$163,013 ",2.2,Increasing,"$177,636 ",1.78,Increasing,"$198,172 ",0.6,Increasing,"$221,659 ",2.28,Increasing,"$233,106 ",1.46,Increasing,"$237,561 ",0.85,Increasing,"$242,736 ",1.02,Increasing,"$249,982 ",1.24,Increasing,"$255,777 ",1.91,Increasing,"$256,345 ",1.77,Increasing,"$247,929 ",1.69,Increasing,"$240,619 ",0.36,Increasing,"$238,890 ",1.44,Increasing,"$230,157 ",1.38,Increasing,"$234,993 ",1.45,Increasing,"$254,295 ",1.52,Increasing,"$274,091 ",1.84,Increasing,"$303,299 ",1.6,Increasing,"$335,241 ",1.29,Increasing,"$364,300 ",1.4,Increasing,"$391,408 ",1.17,"$408,063 ","$418,359 ",Increasing
Connecticut,CT,3565287,41.603221,-73.087749,0.4,Increasing,"$157,969 ",0.38,Increasing,"$157,916 ",0.48,Increasing,"$164,100 ",0.3,Increasing,"$173,397 ",0.57,Increasing,"$187,681 ",0.18,Increasing,"$203,947 ",0.62,Increasing,"$225,221 ",0.75,Increasing,"$252,301 ",0.74,Increasing,"$281,721 ",0.34,Increasing,"$315,771 ",0.31,Increasing,"$337,788 ",0.3,Increasing,"$334,428 ",0.28,Increasing,"$314,330 ",0.46,Increasing,"$290,208 ",0.14,Increasing,"$278,996 ",0.26,Increasing,"$263,281 ",0.17,Increasing,"$248,315 ",0.01,Flat,"$254,033 ",-0.01,Flat,"$256,432 ",-0.21,Decreasing,"$255,248 ",-0.25,Decreasing,"$255,612 ",-0.14,Decreasing,"$262,467 ",-0.05,Decreasing,"$269,289 ",-0.17,"$271,979 ","$274,918 ",Decreasing
Delaware,DE,973764,38.910832,-75.52767,1.54,Increasing,"$133,546 ",1.42,Increasing,"$136,918 ",1.58,Increasing,"$139,286 ",1.3,Increasing,"$145,432 ",1.11,Increasing,"$153,935 ",0.35,Increasing,"$163,049 ",1.19,Increasing,"$174,301 ",1.32,Increasing,"$190,801 ",1.47,Increasing,"$213,388 ",1.56,Increasing,"$246,229 ",1.73,Increasing,"$272,326 ",1.67,Increasing,"$278,219 ",1.45,Increasing,"$266,986 ",0.89,Increasing,"$248,634 ",0.18,Increasing,"$240,393 ",0.86,Increasing,"$224,577 ",0.85,Increasing,"$212,787 ",0.91,Increasing,"$212,319 ",0.96,Increasing,"$221,768 ",0.93,Increasing,"$228,619 ",0.81,Increasing,"$236,883 ",0.83,Increasing,"$243,692 ",0.9,Increasing,"$253,117 ",0.85,"$259,694 ","$259,392 ",Increasing
District of Columbia,D.C.,705749,38.905985,-77.033418,-1.02,Decreasing,"$190,278 ",-1.48,Decreasing,"$189,351 ",-1.4,Decreasing,"$196,721 ",-0.5,Decreasing,"$208,544 ",-0.44,Decreasing,"$231,505 ",1.21,Increasing,"$247,962 ",0.43,Increasing,"$278,779 ",-0.23,Decreasing,"$324,247 ",-0.81,Decreasing,"$380,468 ",-0.13,Decreasing,"$460,695 ",-0.11,Decreasing,"$515,437 ",0.63,Increasing,"$518,686 ",0.65,Increasing,"$499,885 ",2.07,Increasing,"$465,373 ",0.57,Increasing,"$462,790 ",2.35,Increasing,"$453,027 ",2.38,Increasing,"$470,559 ",2.41,Increasing,"$528,105 ",1.77,Increasing,"$595,319 ",1.94,Increasing,"$601,123 ",1.52,Increasing,"$631,648 ",1.31,Increasing,"$663,231 ",0.95,Increasing,"$695,450 ",0.6,"$732,288 ","$747,179 ",Increasing
Florida,FL,21477737,27.664827,-81.515754,2.17,Increasing,"$104,897 ",2.24,Increasing,"$107,252 ",1.98,Increasing,"$111,508 ",1.4,Increasing,"$116,040 ",1.41,Increasing,"$123,191 ",0.41,Increasing,"$133,361 ",1.93,Increasing,"$146,287 ",2.03,Increasing,"$162,524 ",1.89,Increasing,"$185,820 ",2.42,Increasing,"$229,937 ",2.45,Increasing,"$276,390 ",1.82,Increasing,"$266,518 ",1.11,Increasing,"$221,065 ",0.68,Increasing,"$176,866 ",0.22,Increasing,"$161,585 ",1.09,Increasing,"$146,618 ",1.27,Increasing,"$146,221 ",1.27,Increasing,"$163,151 ",1.51,Increasing,"$181,403 ",1.8,Increasing,"$194,688 ",1.96,Increasing,"$211,734 ",1.67,Increasing,"$228,925 ",1.32,Increasing,"$245,240 ",1.09,"$256,405 ","$263,965 ",Increasing
Georgia,GA,10617423,32.157435,-82.907123,2.36,Increasing,"$104,654 ",2.45,Increasing,"$109,482 ",2.32,Increasing,"$115,962 ",2,Increasing,"$122,991 ",1.75,Increasing,"$131,766 ",0.5,Increasing,"$141,244 ",1.82,Increasing,"$147,756 ",1.57,Increasing,"$152,155 ",1.35,Increasing,"$156,775 ",1.7,Increasing,"$162,698 ",1.79,Increasing,"$169,321 ",2.58,Increasing,"$173,102 ",2.12,Increasing,"$166,170 ",1.22,Increasing,"$148,927 ",0.24,Increasing,"$138,670 ",0.92,Increasing,"$125,542 ",1,Increasing,"$122,092 ",0.71,Increasing,"$131,807 ",0.94,Increasing,"$144,349 ",1.09,Increasing,"$152,830 ",1.2,Increasing,"$161,914 ",1.04,Increasing,"$172,360 ",0.96,Increasing,"$187,276 ",1,"$199,556 ","$206,277 ",Increasing
Hawaii,HI,1415872,19.898682,-155.665857,0.58,Increasing,"$255,517 ",0.66,Increasing,"$241,220 ",0.3,Increasing,"$238,270 ",-0.4,Decreasing,"$237,479 ",0.1,Increasing,"$247,530 ",0.16,Increasing,"$262,140 ",1.02,Increasing,"$282,769 ",1.11,Increasing,"$324,323 ",0.93,Increasing,"$395,276 ",1.79,Increasing,"$496,180 ",1.5,Increasing,"$581,887 ",1.32,Increasing,"$590,116 ",0.45,Increasing,"$576,324 ",1.09,Increasing,"$525,517 ",0.27,Increasing,"$520,488 ",1.11,Increasing,"$520,165 ",1.11,Increasing,"$518,928 ",0.95,Increasing,"$548,447 ",0.45,Increasing,"$596,587 ",0.53,Increasing,"$620,159 ",0.39,Increasing,"$648,148 ",-0.22,Decreasing,"$687,813 ",-0.27,Decreasing,"$719,953 ",-0.33,"$726,823 ","$725,070 ",Decreasing
Idaho,ID,1787065,44.068202,-114.742041,2.19,Increasing,"$123,468 ",2.11,Increasing,"$126,396 ",1.94,Increasing,"$128,557 ",1.7,Increasing,"$130,107 ",1.43,Increasing,"$132,641 ",0.42,Increasing,"$137,581 ",1.58,Increasing,"$141,543 ",1.55,Increasing,"$145,164 ",1.72,Increasing,"$151,640 ",2.08,Increasing,"$167,357 ",2.62,Increasing,"$192,453 ",2.83,Increasing,"$202,309 ",2.48,Increasing,"$199,879 ",1.31,Increasing,"$177,739 ",0.2,Increasing,"$161,264 ",0.83,Increasing,"$145,545 ",0.72,Increasing,"$150,909 ",0.99,Increasing,"$169,529 ",1.22,Increasing,"$178,674 ",1.21,Increasing,"$187,474 ",1.86,Increasing,"$202,997 ",2.06,Increasing,"$221,407 ",1.87,Increasing,"$249,822 ",2.04,"$279,471 ","$298,730 ",Increasing
