,State,Label,Current Population,MSFH,latitude,longitude
0,Alabama,AL,4903185,"$142,463 ",32.318231,-86.902298
1,Alaska,AK,731545,"$314,518 ",63.588753000000004,-154.493062
2,Arizona,AZ,7278717,"$283,974 ",34.048928000000004,-111.093731
3,Arkansas,AR,3017804,"$130,638 ",35.20105,-91.83183299999999
4,California,CA,39512223,"$586,271 ",36.778261,-119.41793200000001
5,Colorado,CO,5758736,"$418,359 ",39.550051,-105.782067
6,Connecticut,CT,3565287,"$274,918 ",41.603221000000005,-73.087749
7,Delaware,DE,973764,"$259,392 ",38.910832,-75.52767
8,District of Columbia,D.C.,705749,"$747,179 ",38.905985,-77.03341800000001
9,Florida,FL,21477737,"$263,965 ",27.664827000000002,-81.515754
10,Georgia,GA,10617423,"$206,277 ",32.157435,-82.907123
11,Hawaii,HI,1415872,"$725,070 ",19.898682,-155.66585700000002
12,Idaho,ID,1787065,"$298,730 ",44.068202,-114.74204099999999
13,Illinois,IL,12671821,"$205,522 ",40.633125,-89.398528
14,Indiana,IN,6732219,"$158,876 ",40.551217,-85.602364
15,Iowa,IA,3155070,"$156,707 ",41.878003,-93.097702
16,Kansas,KS,2913314,"$154,107 ",39.011902,-98.484246
17,Kentucky,KY,4467673,"$150,034 ",37.839333,-84.27001800000001
18,Louisiana,LA,4648794,"$170,762 ",31.244822999999997,-92.14502399999999
19,Maine,ME,1344212,"$247,668 ",45.253783,-69.44546899999999
20,Maryland,MD,6045680,"$323,466 ",39.045755,-76.641271
21,Massachusetts,MA,6892503,"$441,507 ",42.407211,-71.382437
22,Michigan,MI,9986857,"$174,044 ",44.314844,-85.602364
23,Minnesota,MN,5639632,"$267,135 ",46.729553,-94.6859
24,Mississippi,MS,2976149,"$127,371 ",32.354668,-89.398528
25,Missouri,MO,6137428,"$166,494 ",37.964253,-91.83183299999999
26,Montana,MT,1068778,,46.879682,-110.36256599999999
27,Nebraska,NE,1934408,"$179,044 ",41.492537,-99.901813
28,Nevada,NV,3080156,"$321,471 ",38.802609999999994,-116.419389
29,New Hampshire,NH,1359711,"$310,210 ",43.193852,-71.572395
30,New Jersey,NJ,8882190,"$351,382 ",40.058324,-74.405661
31,New Mexico,NM,2096829,,34.97273,-105.03236299999999
32,New York,NY,19453561,"$271,984 ",43.299428000000006,-74.217933
33,North Carolina,NC,10488084,"$209,429 ",35.759572999999996,-79.0193
34,North Dakota,ND,762062,,47.551493,-101.002012
35,Ohio,OH,11689100,"$154,443 ",40.417287,-82.907123
36,Oklahoma,OK,3956971,"$133,143 ",35.007752,-97.092877
37,Oregon,OR,4217737,"$375,428 ",43.804133,-120.554201
38,Pennsylvania,PA,12801989,"$199,311 ",41.203322,-77.194525
39,Rhode Island,RI,1059361,"$314,180 ",41.580095,-71.477429
40,South Carolina,SC,5148714,"$192,752 ",33.836081,-81.163725
41,South Dakota,SD,884659,"$210,171 ",43.969515,-99.901813
42,Tennessee,TN,6829174,"$191,179 ",35.517491,-86.58044699999999
43,Texas,TX,28995881,"$212,043 ",31.968598999999998,-99.901813
44,Utah,UT,3205958,"$361,473 ",39.32098,-111.093731
45,Vermont,VT,623989,"$266,352 ",44.558803000000005,-72.577841
46,Virginia,VA,8535519,"$293,064 ",37.431573,-78.656894
47,Washington,WA,7614893,"$434,222 ",47.751073999999996,-120.74013899999999
48,West Virginia,WV,1792147,"$106,928 ",38.597626,-80.454903
49,Wisconsin,WI,5822434,"$204,311 ",43.784440000000004,-88.787868
50,Wyoming,WY,578759,,43.075967999999996,-107.29028400000001
