DATE,MEDIAN,AVG
1/31/1996,108831,115686
2/29/1996,108812,115701
3/31/1996,108372,115729
4/30/1996,108000,115804
5/31/1996,107799,115885
6/30/1996,107966,115993
7/31/1996,108061,116107
8/31/1996,107837,116281
9/30/1996,107697,116468
10/31/1996,106809,116687
11/30/1996,106918,116915
12/31/1996,107381,117164
1/31/1997,107777,117388
2/28/1997,108298,117641
3/31/1997,108894,117900
4/30/1997,109232,118194
5/31/1997,109438,118512
6/30/1997,109850,118818
7/31/1997,110393,119139
8/31/1997,110683,119392
9/30/1997,110883,119662
10/31/1997,111201,119924
11/30/1997,111715,120225
12/31/1997,112235,120565
1/31/1998,112961,120999
2/28/1998,113620,121405
3/31/1998,114205,121814
4/30/1998,114571,122149
5/31/1998,115047,122533
6/30/1998,115591,122937
7/31/1998,116176,123376
8/31/1998,116746,123885
9/30/1998,117291,124431
10/31/1998,117860,124993
11/30/1998,118458,125497
12/31/1998,119017,125949
1/31/1999,119467,126349
2/28/1999,119949,126851
3/31/1999,120529,127412
4/30/1999,121245,128057
5/31/1999,121929,128640
6/30/1999,122627,129261
7/31/1999,123350,129892
8/31/1999,124017,130485
9/30/1999,124698,131033
10/31/1999,125357,131593
11/30/1999,126035,132287
12/31/1999,126684,133020
1/31/2000,127306,133818
2/29/2000,128076,134578
3/31/2000,128942,135324
4/30/2000,129715,136032
5/31/2000,130547,136772
6/30/2000,131329,137507
7/31/2000,132107,138248
8/31/2000,132940,139014
9/30/2000,133613,139820
10/31/2000,134603,140621
11/30/2000,135498,141431
12/31/2000,136391,142281
1/31/2001,137136,143178
2/28/2001,137842,144033
3/31/2001,138221,144918
4/30/2001,138522,145806
5/31/2001,138859,146711
6/30/2001,139179,147572
7/31/2001,139448,148419
8/31/2001,139784,149287
9/30/2001,140104,150148
10/31/2001,140453,151035
11/30/2001,140679,151876
12/31/2001,140870,152722
1/31/2002,141030,153510
2/28/2002,141344,154341
3/31/2002,142359,155165
4/30/2002,143390,156038
5/31/2002,144467,156902
6/30/2002,145581,157816
7/31/2002,146791,158765
8/31/2002,148123,159737
9/30/2002,148992,160741
10/31/2002,150199,161775
11/30/2002,151427,162899
12/31/2002,152830,164038
1/31/2003,154291,165189
2/28/2003,155842,166313
3/31/2003,156937,167430
4/30/2003,158071,168520
5/31/2003,159448,169630
6/30/2003,160821,170724
7/31/2003,162343,171852
8/31/2003,163471,173058
9/30/2003,164392,174360
