NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019
Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5312,13632,16519,14493,11718,10548,11178,10961,13195,15504
Alaska,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,-3594
Arizona,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,14884,65471,82335,77786,97649,99263,111396,102936,114016,120693
Arkansas,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,5933,18703,11497,7236,7992,10656,11870,11427,8388,8071
California,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,64983,318867,310431,311987,336185,321073,249072,191380,103091,50635
Colorado,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,18030,73759,71539,76388,81066,100522,88592,72670,79402,67449
Connecticut,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,4967,9169,6264,294,-317,-7402,-8981,-4844,-1777,-6233
Delaware,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,1656,7788,7798,8397,8911,8765,7669,7902,8656,8285
District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,3459,14574,15124,15657,11747,13072,10415,9091,6641,4202
Florida,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,40973,207700,244585,247799,300290,363131,404435,350136,280704,233420
Georgia,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,23152,90550,98999,71049,94799,111169,123443,108440,100801,106292
Hawaii,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,3656,15366,15475,13439,6295,7514,5507,-3166,-3800,-4721
Idaho,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,3089,13164,11414,15882,19906,19947,31321,35335,32821,36529
Illinois,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,8931,26951,15056,12619,-10636,-25580,-38386,-41699,-55757,-51250
Indiana,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6381,26096,21175,31010,24931,14778,25882,23774,37419,36722
Iowa,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3874,15591,9854,16807,16353,11610,10411,10179,7068,6452
Kansas,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,5067,11035,16032,7955,7263,8536,1833,-2126,2641,1955
Kentucky,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,8848,21640,16525,18313,9690,11627,12206,14086,8885,6520
Louisiana,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,11045,31093,25347,23555,19486,20615,13507,-7575,-10870,-10896
Maine,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,-729,655,-555,280,2504,-2251,3055,3295,4445,5155
Maryland,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,14851,50774,47573,36196,34095,28279,17761,20545,11934,9878
Massachusetts,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,18522,47276,49422,50310,49281,31632,29380,36181,22846,9868
Michigan,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,-6606,4902,14733,15920,16783,1867,18856,22543,10958,2785
Minnesota,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,6901,35315,30500,36836,37600,30953,40712,43486,40019,33383
Mississippi,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2418,8183,5085,4895,1757,-1997,-533,572,-7490,-4871
Missouri,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,7024,14301,14092,16348,15487,15530,15403,19535,14953,15805
Montana,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1290,6619,6467,9786,8300,8606,10384,11623,8183,8113
Nebraska,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,3237,11130,12631,11976,14042,11956,14339,10331,9667,8794
Nevada,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,1728,10325,31266,31974,41658,49311,50624,52342,57436,52815
New Hampshire,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,300,3440,4030,2390,6719,3009,5957,6480,4678,6246
New Jersey,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,7468,28671,16825,12030,7553,3424,2878,14698,500,-3835
